metric,regime,system,crash_point,response_class,readback_keying,successes,total,rate,runs,ci_low,ci_high,resamples,bootstrap_seed,clusters,observations
recovery_success_rate,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B1_LEASE_ONLY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B1_LEASE_ONLY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B1_LEASE_ONLY,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B2_CAS_ONLY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B2_CAS_ONLY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B2_CAS_ONLY,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B4_DURABLE_WORKFLOW,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B4_DURABLE_WORKFLOW,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
recovery_success_rate,crashed,B4_DURABLE_WORKFLOW,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
