metric,dataset_version,redis_durability,regime,system,crash_point,response_class,readback_keying,successes,total,rate,runs,ci_low,ci_high,resamples,bootstrap_seed,clusters,observations
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_intent_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_intent_before_barrier,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_intent_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_resolution_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_resolution_before_barrier,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_response_before_resolution,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_response_before_resolution,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B4_DURABLE_WORKFLOW,after_response_before_resolution,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
