dataset_version,redis_durability,regime,system,response_class,runs,executions,executions_with_an_applied_effect,applied_effects_total,declared_ambiguous,confirmed_not_applied,undetected_duplicates,lost_effects,canary_survived,canary_lost,redis_kill_confirmed,redis_restart_start_ms_median,redis_restart_readiness_ms_median,redis_uptime_after_seconds_max,barrier_behavior,independent_ledger_agreement_runs,unwanted_applied_effect_numerator,unwanted_applied_effect_denominator,unwanted_applied_effect_rate,unwanted_applied_effect_ci_low,unwanted_applied_effect_ci_high,unwanted_applied_effect_clusters,unwanted_applied_effect_interval_method,dispatch_withheld_numerator,dispatch_withheld_denominator,dispatch_withheld_rate,dispatch_withheld_ci_low,dispatch_withheld_ci_high,dispatch_withheld_clusters,dispatch_withheld_interval_method,declared_ambiguous_numerator,declared_ambiguous_denominator,declared_ambiguous_rate,declared_ambiguous_ci_low,declared_ambiguous_ci_high,declared_ambiguous_clusters,declared_ambiguous_interval_method,undetected_duplicate_numerator,undetected_duplicate_denominator,undetected_duplicate_rate,undetected_duplicate_ci_low,undetected_duplicate_ci_high,undetected_duplicate_clusters,undetected_duplicate_interval_method,lost_effect_numerator,lost_effect_denominator,lost_effect_rate,lost_effect_ci_low,lost_effect_ci_high,lost_effect_clusters,lost_effect_interval_method
stage3-2026-08-13-replication-1,everysec,redis-kill-preack,AEP_FULL,NO_READBACK,30,30,0,0,30,0,0,0,30,0,30,513.0,53.0,1,acknowledged_if_dispatched; refused_or_failed_if_withheld,30,0,30,0.0,0.0,0.0,30,run-cluster percentile bootstrap,30,30,1.0,1.0,1.0,30,run-cluster percentile bootstrap,30,30,1.0,1.0,1.0,30,run-cluster percentile bootstrap,0,30,0.0,0.0,0.0,30,run-cluster percentile bootstrap,0,30,0.0,0.0,0.0,30,run-cluster percentile bootstrap
stage3-2026-08-13-replication-1,everysec,redis-kill-preack,B3_INTENT_NO_BARRIER,NO_READBACK,30,30,28,28,30,0,0,0,30,0,30,587.0,54.0,1,not_applicable_barrier_ablated,30,28,30,0.9333333333333333,0.8333333333333334,1.0,30,run-cluster percentile bootstrap,30,30,1.0,1.0,1.0,30,run-cluster percentile bootstrap,30,30,1.0,1.0,1.0,30,run-cluster percentile bootstrap,0,30,0.0,0.0,0.0,30,run-cluster percentile bootstrap,0,30,0.0,0.0,0.0,30,run-cluster percentile bootstrap
