regime,system,response_class,runs,executions,executions_with_an_applied_effect,applied_effects_total,declared_ambiguous,confirmed_not_applied,undetected_duplicates,lost_effects,canary_survived,canary_lost
redis-kill-preack,AEP_FULL,AUTHORITATIVE_READBACK,30,30,17,17,0,13,0,0,30,0
redis-kill-preack,AEP_FULL,NO_READBACK,30,30,10,10,30,0,0,0,30,0
redis-kill-preack,B3_INTENT_NO_BARRIER,AUTHORITATIVE_READBACK,30,30,30,30,0,0,0,0,30,0
redis-kill-preack,B3_INTENT_NO_BARRIER,NO_READBACK,30,30,28,28,30,0,0,0,30,0
