system,runs,executions,crash_points_covered,response_classes_covered,undetected_duplicates,undetected_duplicate_rate,undetected_duplicate_ci_low,undetected_duplicate_ci_high,known_ambiguities,known_ambiguity_rate,known_ambiguity_ci_low,known_ambiguity_ci_high,lost_effects,lost_effect_rate,fisher_p_vs_aep_full
AEP_FULL,13,13,1,2,0,0.0,0.0,0.0,7,0.5384615384615384,0.23076923076923078,0.7692307692307693,0,0.0,
B3_INTENT_NO_BARRIER,12,12,1,2,0,0.0,0.0,0.0,6,0.5,0.25,0.75,0,0.0,1.0
