metric,regime,system,crash_point,response_class,readback_keying,successes,total,rate,runs,ci_low,ci_high,resamples,bootstrap_seed,clusters,observations
state_corruption_rate,(session-3),AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
recovery_success_rate,(session-3),AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,30,30,1.0,3,1.0,1.0,10000,20260806,3,30
undetected_duplicate_rate,(session-3),AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,(session-3),AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
lost_effect_rate,(session-3),AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
unverified_failure_rate,(session-3),AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
state_corruption_rate,(session-3),AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
recovery_success_rate,(session-3),AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,30,30,1.0,3,1.0,1.0,10000,20260806,3,30
undetected_duplicate_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,29,30,0.9666666666666667,3,0.9,1.0,10000,20260806,3,30
known_ambiguity_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
lost_effect_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
unverified_failure_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
state_corruption_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
recovery_success_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,27,30,0.9,3,0.8,1.0,10000,20260806,3,30
known_ambiguity_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
lost_effect_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
unverified_failure_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
state_corruption_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
recovery_success_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,28,30,0.9333333333333333,3,0.9,1.0,10000,20260806,3,30
