regime,system,crash_point,response_class,readback_keying,runs
p0,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p0,B0_NAIVE_RETRY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p0,B1_LEASE_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p0,B2_CAS_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p0,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p0,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p0,B4_DURABLE_WORKFLOW,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
