run_id,regime,system,crash_point,endpoint,response_class,readback_keying,execution_id,outcome_class,status,applied_effects,crashed,dispatch_attempts,step_latency_ms,recovery_latency_ms,undetected_duplicate,lost_effect
aep_full-none-payments-e5e5c7dc-r2,p0,AEP_FULL,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,90dce635-ff87-41c4-89fc-d34cb03eea4e,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2058.247854,,0,0
aep_full-none-payments-e5e5c7dc-r2,p0,AEP_FULL,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,ab9c85ca-dfea-4961-8e86-b49d912104f4,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2059.645188,,0,0
aep_full-none-payments-e5e5c7dc-r2,p0,AEP_FULL,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,e6b1e1e4-32bc-4d16-b8c0-0f87e8f694b8,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2076.621022,,0,0
aep_full-none-payments-e5e5c7dc-r2,p0,AEP_FULL,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,bbd133b0-d1c4-48af-9c72-131816489947,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2106.031055,,0,0
aep_full-none-payments-e5e5c7dc-r2,p0,AEP_FULL,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,d2845b47-7ac0-434d-81be-43d796affa92,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2077.890702,,0,0
aep_full-none-payments-e5e5c7dc-r2,p0,AEP_FULL,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,89761cb3-42b7-4082-824a-307da9d2e0a5,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2057.317259,,0,0
aep_full-none-payments-e5e5c7dc-r2,p0,AEP_FULL,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,5d856038-360c-4e93-bf07-635fe10e340d,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2059.010381,,0,0
aep_full-none-payments-e5e5c7dc-r2,p0,AEP_FULL,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,25ed2702-67c8-4101-b470-e52ba2add857,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2083.263015,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r0,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,4e513b1c-b34f-4af4-a74c-36306ae57236,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2089.159203,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r0,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,8fd8d950-6959-419f-9886-b36642e5226d,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2045.141727,,0,0
