regime,system,crash_point,response_class,readback_keying,runs
p0,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p0,B0_NAIVE_RETRY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p0,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
