system,runs,executions,crash_points_covered,response_classes_covered,undetected_duplicates,undetected_duplicate_rate,undetected_duplicate_ci_low,undetected_duplicate_ci_high,known_ambiguities,known_ambiguity_rate,known_ambiguity_ci_low,known_ambiguity_ci_high,lost_effects,lost_effect_rate,fisher_p_vs_aep_full
AEP_FULL,30,300,1,1,0,0.0,0.0,0.0,49,0.16333333333333333,0.12333333333333334,0.20333333333333334,0,0.0,
B3_INTENT_NO_BARRIER,30,300,1,1,0,0.0,0.0,0.0,61,0.20333333333333334,0.16,0.24666666666666667,0,0.0,1.0
