regime,system,response_class,runs,executions,executions_with_an_applied_effect,applied_effects_total,declared_ambiguous,confirmed_not_applied,undetected_duplicates,lost_effects,canary_survived,canary_lost
write-loss-preack,AEP_FULL,NO_READBACK,30,300,285,285,49,0,0,0,0,0
write-loss-preack,B3_INTENT_NO_BARRIER,NO_READBACK,30,300,287,287,61,0,0,0,0,0
